location,measure,sample date,value
Achara,Ammonium,16-Apr-16,0.14
Achara,Ammonium,13-May-16,0.16
Achara,Ammonium,11-Jun-16,0.05
Achara,Ammonium,16-Jul-16,0.04
Achara,Ammonium,20-Aug-16,0.056
Achara,Ammonium,16-Sep-16,0.078
Achara,Ammonium,22-Oct-16,0.089
Achara,Ammonium,19-Nov-16,0.11
Achara,Ammonium,10-Dec-16,0.11
Achara,Anionic active surfactants,15-Jan-09,0.034
Achara,Anionic active surfactants,13-Feb-09,0.034
Achara,Anionic active surfactants,19-Mar-09,0.034
Achara,Anionic active surfactants,17-Apr-09,0.034
Achara,Anionic active surfactants,12-Jun-09,0.034
Achara,Anionic active surfactants,11-Jul-09,0.034
Achara,Anionic active surfactants,11-Oct-09,0.034
Achara,Anionic active surfactants,19-Nov-09,0.034
Achara,Anionic active surfactants,12-Feb-16,0
Achara,Anionic active surfactants,16-Apr-16,0
Achara,Anionic active surfactants,11-Jun-16,0
Achara,Anionic active surfactants,20-Aug-16,0
Achara,Anionic active surfactants,22-Oct-16,0
Achara,Anionic active surfactants,10-Dec-16,0
Achara,Arsenic,15-Jan-09,0.5
Achara,Arsenic,13-Feb-09,0.5
Achara,Arsenic,19-Mar-09,0.5
Achara,Arsenic,17-Apr-09,1.7
Achara,Arsenic,12-Jun-09,0.5
Achara,Arsenic,11-Jul-09,1.4
Achara,Arsenic,11-Oct-09,1
Achara,Arsenic,19-Nov-09,0.5
Achara,Arsenic,16-Jan-10,0.5
Achara,Arsenic,20-Feb-10,0.5
Achara,Arsenic,19-Mar-10,0.5
Achara,Arsenic,16-Apr-10,0.5
Achara,Arsenic,20-May-10,1.3
Achara,Arsenic,17-Jun-10,0.8
Achara,Arsenic,16-Jul-10,1.7
Achara,Arsenic,12-Aug-10,1.8
Achara,Arsenic,17-Sep-10,1
Achara,Arsenic,22-Oct-10,1.5
Achara,Arsenic,19-Nov-10,1.5
Achara,Arsenic,11-Dec-10,0.5
Achara,Arsenic,21-Jan-11,1
Achara,Arsenic,11-Feb-11,1
Achara,Arsenic,18-Feb-11,1
Achara,Arsenic,18-Mar-11,1
Achara,Arsenic,31-Mar-11,1
Achara,Arsenic,16-Apr-11,1
Achara,Arsenic,13-May-11,0
Achara,Arsenic,27-May-11,1.3
Achara,Arsenic,11-Jun-11,1.3
Achara,Arsenic,17-Jun-11,1.2
Achara,Arsenic,14-Jul-11,1.2
Achara,Arsenic,11-Aug-11,2.4
Achara,Arsenic,14-Sep-11,1.2
Achara,Arsenic,28-Sep-11,1.7
Achara,Arsenic,08-Oct-11,2.2
Achara,Arsenic,13-Oct-11,1.8
Achara,Arsenic,11-Nov-11,0
Achara,Arsenic,10-Dec-11,1.4
Achara,Arsenic,20-Jan-12,0
Achara,Arsenic,17-Feb-12,0
Achara,Arsenic,17-Mar-12,0
Achara,Arsenic,21-Apr-12,0
Achara,Arsenic,19-May-12,0
Achara,Arsenic,16-Jun-12,0
Achara,Arsenic,21-Jul-12,0
Achara,Arsenic,16-Aug-12,1.6
Achara,Arsenic,21-Sep-12,1.3
Achara,Arsenic,21-Oct-12,0
Achara,Arsenic,16-Nov-12,1.4
Achara,Arsenic,10-Dec-12,0
Achara,Arsenic,17-Jan-13,0
Achara,Arsenic,15-Feb-13,0
Achara,Arsenic,14-Mar-13,0
Achara,Arsenic,12-Apr-13,0
Achara,Arsenic,16-May-13,0
Achara,Arsenic,14-Jun-13,0
Achara,Arsenic,18-Jul-13,1
Achara,Arsenic,16-Aug-13,2.1
Achara,Arsenic,21-Sep-13,1.1
Achara,Arsenic,18-Oct-13,0
Achara,Arsenic,15-Nov-13,0
Achara,Arsenic,13-Dec-13,0
Achara,Atrazine,17-Jan-13,0
Achara,Atrazine,15-Feb-13,0
Achara,Atrazine,14-Mar-13,0
Achara,Atrazine,12-Apr-13,0
Achara,Atrazine,16-May-13,0
Achara,Atrazine,14-Jun-13,0
Achara,Atrazine,18-Jul-13,0
Achara,Atrazine,16-Aug-13,0
Achara,Atrazine,21-Sep-13,0
Achara,Atrazine,16-Jan-14,0
Achara,Atrazine,15-Feb-14,0
Achara,Atrazine,19-Mar-14,0
Achara,Atrazine,18-Apr-14,0.213
Achara,Atrazine,16-May-14,0
Achara,Atrazine,20-Jun-14,0
Achara,Atrazine,18-Jul-14,0
Achara,Atrazine,16-Aug-14,0
Achara,Atrazine,19-Sep-14,0
Achara,Atrazine,17-Oct-14,0
Achara,Atrazine,21-Nov-14,0
Achara,Atrazine,12-Dec-14,0
Achara,Atrazine,17-Jan-15,0
Achara,Atrazine,21-Feb-15,0
Achara,Atrazine,13-Mar-15,0
Achara,Atrazine,18-Apr-15,0
Achara,Atrazine,15-May-15,0
Achara,Atrazine,20-Jun-15,0
Achara,Atrazine,16-Jul-15,0
Achara,Atrazine,22-Aug-15,0
Achara,Atrazine,18-Sep-15,0
Achara,Atrazine,16-Oct-15,0
Achara,Atrazine,20-Nov-15,0
Achara,Atrazine,09-Dec-15,0
Achara,Atrazine,15-Jan-16,0
Achara,Atrazine,12-Feb-16,0
Achara,Atrazine,12-Mar-16,0
Achara,Atrazine,16-Apr-16,0
Achara,Atrazine,13-May-16,0
Achara,Atrazine,11-Jun-16,0
Achara,Atrazine,16-Jul-16,0
Achara,Atrazine,20-Aug-16,0
Achara,Atrazine,16-Sep-16,0
Achara,Atrazine,22-Oct-16,0
Achara,Atrazine,19-Nov-16,0
Achara,Atrazine,10-Dec-16,0
Achara,Bicarbonates,15-Jan-09,134.2
Achara,Bicarbonates,13-Feb-09,91.5
Achara,Bicarbonates,19-Mar-09,97.6
Achara,Bicarbonates,17-Apr-09,109.8
Achara,Bicarbonates,17-May-09,122
Achara,Bicarbonates,12-Jun-09,122
Achara,Bicarbonates,11-Jul-09,109.8
Achara,Bicarbonates,13-Aug-09,115.9
Achara,Bicarbonates,10-Sep-09,115.9
Achara,Bicarbonates,11-Oct-09,97.6
Achara,Bicarbonates,19-Nov-09,109.8
Achara,Bicarbonates,10-Dec-09,122
Achara,Bicarbonates,16-Jan-14,170.8
Achara,Bicarbonates,18-Apr-14,134.2
Achara,Bicarbonates,20-Jun-14,85.4
Achara,Bicarbonates,16-Aug-14,128.1
Achara,Bicarbonates,17-Oct-14,134.2
Achara,Bicarbonates,12-Dec-14,146.4
Achara,Bicarbonates,21-Feb-15,115.9
Achara,Bicarbonates,18-Apr-15,109.8
Achara,Bicarbonates,20-Jun-15,109.8
Achara,Bicarbonates,22-Aug-15,128.1
Achara,Bicarbonates,16-Oct-15,140.3
Achara,Bicarbonates,12-Feb-16,122
Achara,Bicarbonates,16-Apr-16,109.8
Achara,Bicarbonates,11-Jun-16,115.9
Achara,Bicarbonates,20-Aug-16,97.6
Achara,Bicarbonates,22-Oct-16,109.8
Achara,Bicarbonates,10-Dec-16,105.6
Achara,Biochemical Oxygen,15-Jan-09,2.3
Achara,Biochemical Oxygen,13-Feb-09,3
Achara,Biochemical Oxygen,19-Mar-09,1.7
Achara,Biochemical Oxygen,17-Apr-09,2
Achara,Biochemical Oxygen,17-May-09,2.4
Achara,Biochemical Oxygen,12-Jun-09,2.2
Achara,Biochemical Oxygen,11-Jul-09,2.4
Achara,Biochemical Oxygen,13-Aug-09,2.3
Achara,Biochemical Oxygen,10-Sep-09,2.1
Achara,Biochemical Oxygen,11-Oct-09,1.2
Achara,Biochemical Oxygen,19-Nov-09,2.7
Achara,Biochemical Oxygen,10-Dec-09,2.7
Achara,Biochemical Oxygen,16-Jan-10,2
Achara,Biochemical Oxygen,20-Feb-10,1
Achara,Biochemical Oxygen,19-Mar-10,2.1
Achara,Biochemical Oxygen,16-Apr-10,1.8
Achara,Biochemical Oxygen,20-May-10,2.4
Achara,Biochemical Oxygen,17-Jun-10,2.9
Achara,Biochemical Oxygen,16-Jul-10,2
Achara,Biochemical Oxygen,12-Aug-10,2.3
Achara,Biochemical Oxygen,17-Sep-10,2
Achara,Biochemical Oxygen,22-Oct-10,2.8
Achara,Biochemical Oxygen,19-Nov-10,1.9
Achara,Biochemical Oxygen,11-Dec-10,2.7
Achara,Biochemical Oxygen,21-Jan-11,3.6
Achara,Biochemical Oxygen,22-Jan-11,2.7
Achara,Biochemical Oxygen,11-Feb-11,2.4
Achara,Biochemical Oxygen,18-Feb-11,4.9
Achara,Biochemical Oxygen,18-Mar-11,3.4
Achara,Biochemical Oxygen,31-Mar-11,3
Achara,Biochemical Oxygen,16-Apr-11,5.8
Achara,Biochemical Oxygen,22-Apr-11,1.9
Achara,Biochemical Oxygen,13-May-11,4.2
Achara,Biochemical Oxygen,27-May-11,4.4
Achara,Biochemical Oxygen,11-Jun-11,4.3
Achara,Biochemical Oxygen,17-Jun-11,5.5
Achara,Biochemical Oxygen,09-Jul-11,1.6
Achara,Biochemical Oxygen,14-Jul-11,4.2
Achara,Biochemical Oxygen,04-Aug-11,4.4
Achara,Biochemical Oxygen,11-Aug-11,3.5
Achara,Biochemical Oxygen,14-Sep-11,2
Achara,Biochemical Oxygen,28-Sep-11,1.7
Achara,Biochemical Oxygen,08-Oct-11,5.9
Achara,Biochemical Oxygen,13-Oct-11,1.7
Achara,Biochemical Oxygen,11-Nov-11,3
Achara,Biochemical Oxygen,26-Nov-11,1.4
Achara,Biochemical Oxygen,15-Dec-11,2.2
Achara,Biochemical Oxygen,20-Jan-12,1.6
Achara,Biochemical Oxygen,21-Jan-12,1.5
Achara,Biochemical Oxygen,10-Feb-12,2.4
Achara,Biochemical Oxygen,17-Feb-12,3.4
Achara,Biochemical Oxygen,15-Mar-12,3.6
Achara,Biochemical Oxygen,17-Mar-12,2.1
Achara,Biochemical Oxygen,21-Apr-12,3.4
Achara,Biochemical Oxygen,29-Apr-12,1.9
Achara,Biochemical Oxygen,19-May-12,1.8
Achara,Biochemical Oxygen,27-May-12,1.9
Achara,Biochemical Oxygen,16-Jun-12,3.4
Achara,Biochemical Oxygen,28-Jun-12,1.4
Achara,Biochemical Oxygen,08-Jul-12,1.8
Achara,Biochemical Oxygen,26-Aug-12,1.5
Achara,Biochemical Oxygen,21-Sep-12,2
Achara,Biochemical Oxygen,27-Sep-12,1.4
Achara,Biochemical Oxygen,18-Oct-12,1.7
Achara,Biochemical Oxygen,21-Oct-12,2.6
Achara,Biochemical Oxygen,16-Nov-12,2.1
Achara,Biochemical Oxygen,22-Nov-12,2.7
Achara,Biochemical Oxygen,07-Dec-12,2
Achara,Biochemical Oxygen,10-Dec-12,2.6
Achara,Biochemical Oxygen,17-Jan-13,3.3
Achara,Biochemical Oxygen,15-Feb-13,2.2
Achara,Biochemical Oxygen,14-Mar-13,2.4
Achara,Biochemical Oxygen,12-Apr-13,2.1
Achara,Biochemical Oxygen,16-May-13,2.3
Achara,Biochemical Oxygen,14-Jun-13,1
Achara,Biochemical Oxygen,18-Jul-13,2.6
Achara,Biochemical Oxygen,16-Aug-13,1.7
Achara,Biochemical Oxygen,21-Sep-13,2.1
Achara,Biochemical Oxygen,18-Oct-13,1
Achara,Biochemical Oxygen,15-Nov-13,2
Achara,Biochemical Oxygen,13-Dec-13,1.9
Achara,Biochemical Oxygen,16-Jan-14,2.3
Achara,Biochemical Oxygen,15-Feb-14,4
Achara,Biochemical Oxygen,19-Mar-14,3.8
Achara,Biochemical Oxygen,18-Apr-14,1.3
Achara,Biochemical Oxygen,16-May-14,2.1
Achara,Biochemical Oxygen,20-Jun-14,3
Achara,Biochemical Oxygen,18-Jul-14,1.6
Achara,Biochemical Oxygen,16-Aug-14,2.5
Achara,Biochemical Oxygen,19-Sep-14,1.2
Achara,Biochemical Oxygen,17-Oct-14,0.5
Achara,Biochemical Oxygen,21-Nov-14,1
Achara,Biochemical Oxygen,12-Dec-14,2.3
Achara,Biochemical Oxygen,17-Jan-15,2.3
Achara,Biochemical Oxygen,21-Feb-15,3.1
Achara,Biochemical Oxygen,13-Mar-15,2.2
Achara,Biochemical Oxygen,18-Apr-15,1.4
Achara,Biochemical Oxygen,15-May-15,2.2
Achara,Biochemical Oxygen,20-Jun-15,2.5
Achara,Biochemical Oxygen,16-Jul-15,1.6
Achara,Biochemical Oxygen,22-Aug-15,1.5
Achara,Biochemical Oxygen,18-Sep-15,1.3
Achara,Biochemical Oxygen,16-Oct-15,1.3
Achara,Biochemical Oxygen,20-Nov-15,1.1
Achara,Biochemical Oxygen,09-Dec-15,2.4
Achara,Biochemical Oxygen,15-Jan-16,2.4
Achara,Biochemical Oxygen,12-Feb-16,2.2
Achara,Biochemical Oxygen,12-Mar-16,1.6
Achara,Biochemical Oxygen,16-Apr-16,2.8
Achara,Biochemical Oxygen,13-May-16,1.8
Achara,Biochemical Oxygen,11-Jun-16,2.6
Achara,Biochemical Oxygen,16-Jul-16,1.2
Achara,Biochemical Oxygen,20-Aug-16,0.5
Achara,Biochemical Oxygen,16-Sep-16,0.5
Achara,Biochemical Oxygen,22-Oct-16,0.5
Achara,Biochemical Oxygen,19-Nov-16,0.5
Achara,Biochemical Oxygen,10-Dec-16,1.2
Achara,Cadmium,15-Jan-09,0.3
Achara,Cadmium,13-Feb-09,0.3
Achara,Cadmium,19-Mar-09,0.3
Achara,Cadmium,17-Apr-09,0.3
Achara,Cadmium,12-Jun-09,0.3
Achara,Cadmium,11-Jul-09,0.3
Achara,Cadmium,11-Oct-09,0.3
Achara,Cadmium,19-Nov-09,0.3
Achara,Cadmium,16-Jan-10,0.4
Achara,Cadmium,20-Feb-10,0.25
Achara,Cadmium,19-Mar-10,0.25
Achara,Cadmium,16-Apr-10,0.25
Achara,Cadmium,20-May-10,0.25
Achara,Cadmium,17-Jun-10,0.25
Achara,Cadmium,16-Jul-10,0.25
Achara,Cadmium,12-Aug-10,0.25
Achara,Cadmium,17-Sep-10,0.25
Achara,Cadmium,22-Oct-10,0.25
Achara,Cadmium,19-Nov-10,0.25
Achara,Cadmium,11-Dec-10,0.25
Achara,Cadmium,21-Jan-11,0.5
Achara,Cadmium,11-Feb-11,0.5
Achara,Cadmium,18-Feb-11,0.5
Achara,Cadmium,18-Mar-11,0.5
Achara,Cadmium,31-Mar-11,0.5
Achara,Cadmium,16-Apr-11,0.5
Achara,Cadmium,13-May-11,0
Achara,Cadmium,27-May-11,0
Achara,Cadmium,11-Jun-11,0
Achara,Cadmium,17-Jun-11,0
Achara,Cadmium,14-Jul-11,0
Achara,Cadmium,11-Aug-11,0
Achara,Cadmium,14-Sep-11,0
Achara,Cadmium,28-Sep-11,0
Achara,Cadmium,08-Oct-11,0
Achara,Cadmium,13-Oct-11,0
Achara,Cadmium,11-Nov-11,0
Achara,Cadmium,10-Dec-11,0
Achara,Cadmium,20-Jan-12,0.25
Achara,Cadmium,17-Feb-12,0.25
Achara,Cadmium,17-Mar-12,0.25
Achara,Cadmium,21-Apr-12,0.25
Achara,Cadmium,19-May-12,0.25
Achara,Cadmium,16-Jun-12,0.25
Achara,Cadmium,21-Jul-12,0.25
Achara,Cadmium,16-Aug-12,0.25
Achara,Cadmium,21-Sep-12,0.25
Achara,Cadmium,21-Oct-12,0.25
Achara,Cadmium,16-Nov-12,0.25
Achara,Cadmium,10-Dec-12,0.25
Achara,Cadmium,17-Jan-13,0
Achara,Cadmium,15-Feb-13,0
Achara,Cadmium,14-Mar-13,0
Achara,Cadmium,12-Apr-13,0
Achara,Cadmium,16-May-13,0
Achara,Cadmium,14-Jun-13,0
Achara,Cadmium,18-Jul-13,0
Achara,Cadmium,16-Aug-13,0
Achara,Cadmium,21-Sep-13,0
Achara,Cadmium,18-Oct-13,0
Achara,Cadmium,15-Nov-13,0
Achara,Cadmium,13-Dec-13,0
Achara,Cadmium,21-Feb-15,0
Achara,Cadmium,20-Jun-15,0
Achara,Cadmium,22-Aug-15,0
Achara,Cadmium,16-Oct-15,0
Achara,Cadmium,15-Jan-16,0
Achara,Cadmium,11-Jun-16,0
Achara,Cadmium,20-Aug-16,0
Achara,Cadmium,22-Oct-16,0
Achara,Calcium,15-Jan-09,47.4
Achara,Calcium,13-Feb-09,25.9
Achara,Calcium,19-Mar-09,34.6
Achara,Calcium,17-Apr-09,38.2
Achara,Calcium,16-Jan-10,31.5
Achara,Calcium,20-Feb-10,31.1
Achara,Calcium,19-Mar-10,30.9
Achara,Calcium,16-Apr-10,39.2
Achara,Calcium,20-May-10,29.9
Achara,Calcium,17-Jun-10,27.3
Achara,Calcium,16-Jul-10,33.6
Achara,Calcium,12-Aug-10,40.4
Achara,Calcium,17-Sep-10,37.3
Achara,Calcium,22-Oct-10,42.7
Achara,Calcium,19-Nov-10,43.2
Achara,Calcium,11-Dec-10,40.1
Achara,Calcium,21-Jan-11,34.6
Achara,Calcium,18-Feb-11,31.5
Achara,Calcium,18-Mar-11,34.6
Achara,Calcium,16-Apr-11,42.5
Achara,Calcium,13-May-11,35.1
Achara,Calcium,11-Jun-11,33.8
Achara,Calcium,17-Jun-11,31.3
Achara,Calcium,14-Jul-11,31.3
Achara,Calcium,11-Aug-11,37
Achara,Calcium,14-Sep-11,32.1
Achara,Calcium,13-Oct-11,28.4
Achara,Calcium,11-Nov-11,41.1
Achara,Calcium,10-Dec-11,44.4
Achara,Calcium,20-Jan-12,34.1
Achara,Calcium,17-Feb-12,28.1
Achara,Calcium,17-Mar-12,34.1
Achara,Calcium,21-Apr-12,36
Achara,Calcium,19-May-12,31.3
Achara,Calcium,16-Jun-12,33.9
Achara,Calcium,21-Jul-12,33.2
Achara,Calcium,16-Aug-12,33.7
Achara,Calcium,21-Sep-12,27
Achara,Calcium,21-Oct-12,36.1
Achara,Calcium,16-Nov-12,45.5
Achara,Calcium,10-Dec-12,34.7
Achara,Calcium,17-Jan-13,45.2
Achara,Calcium,15-Feb-13,34.2
Achara,Calcium,14-Mar-13,48.4
Achara,Calcium,12-Apr-13,41.1
Achara,Calcium,16-May-13,35.3
Achara,Calcium,14-Jun-13,39.4
Achara,Calcium,18-Jul-13,42.1
Achara,Calcium,16-Aug-13,32.1
Achara,Calcium,21-Sep-13,33
Achara,Calcium,18-Oct-13,46.8
Achara,Calcium,15-Nov-13,44.1
Achara,Calcium,13-Dec-13,49.9
Achara,Calcium,16-Jan-14,47.3
Achara,Calcium,15-Feb-14,41
Achara,Calcium,19-Mar-14,44.8
Achara,Calcium,18-Apr-14,43.3
Achara,Calcium,16-May-14,26.3
Achara,Calcium,20-Jun-14,24.5
Achara,Calcium,18-Jul-14,39.6
Achara,Calcium,16-Aug-14,39.9
Achara,Calcium,19-Sep-14,54.2
Achara,Calcium,17-Oct-14,41.5
Achara,Calcium,21-Nov-14,47.4
Achara,Calcium,12-Dec-14,49.5
Achara,Calcium,17-Jan-15,49.8
Achara,Calcium,21-Feb-15,39.3
Achara,Calcium,13-Mar-15,36.4
Achara,Calcium,18-Apr-15,36.9
Achara,Calcium,15-May-15,41.9
Achara,Calcium,20-Jun-15,32.5
Achara,Calcium,16-Jul-15,33.2
Achara,Calcium,22-Aug-15,40.1
Achara,Calcium,18-Sep-15,40.4
Achara,Calcium,16-Oct-15,44.2
Achara,Calcium,20-Nov-15,32.9
Achara,Calcium,09-Dec-15,41.9
Achara,Calcium,15-Jan-16,37.9
Achara,Calcium,12-Feb-16,35.5
Achara,Calcium,12-Mar-16,35.6
Achara,Calcium,16-Apr-16,31.5
Achara,Calcium,13-May-16,27
Achara,Calcium,11-Jun-16,35.6
Achara,Calcium,16-Jul-16,33.2
Achara,Calcium,20-Aug-16,25.9
Achara,Calcium,16-Sep-16,31.3
Achara,Calcium,22-Oct-16,27.6
Achara,Calcium,19-Nov-16,30.9
Achara,Calcium,10-Dec-16,30.9
Achara,Carbonates,09-Dec-15,140.3
Achara,Chemical Oxygen Demand (Cr),15-Jan-09,7
Achara,Chemical Oxygen Demand (Cr),13-Feb-09,13
Achara,Chemical Oxygen Demand (Cr),19-Mar-09,5.3
Achara,Chemical Oxygen Demand (Cr),17-Apr-09,6
Achara,Chemical Oxygen Demand (Cr),17-May-09,7
Achara,Chemical Oxygen Demand (Cr),12-Jun-09,7
Achara,Chemical Oxygen Demand (Cr),11-Jul-09,8
Achara,Chemical Oxygen Demand (Cr),13-Aug-09,8
Achara,Chemical Oxygen Demand (Cr),10-Sep-09,7
Achara,Chemical Oxygen Demand (Cr),11-Oct-09,6
Achara,Chemical Oxygen Demand (Cr),19-Nov-09,5
Achara,Chemical Oxygen Demand (Cr),10-Dec-09,5
Achara,Chemical Oxygen Demand (Cr),16-Jan-10,7
Achara,Chemical Oxygen Demand (Cr),20-Feb-10,5
Achara,Chemical Oxygen Demand (Cr),19-Mar-10,6
Achara,Chemical Oxygen Demand (Cr),16-Apr-10,8
Achara,Chemical Oxygen Demand (Cr),20-May-10,8
Achara,Chemical Oxygen Demand (Cr),17-Jun-10,9
Achara,Chemical Oxygen Demand (Cr),16-Jul-10,6
Achara,Chemical Oxygen Demand (Cr),12-Aug-10,7.2
Achara,Chemical Oxygen Demand (Cr),17-Sep-10,5
Achara,Chemical Oxygen Demand (Cr),22-Oct-10,10
Achara,Chemical Oxygen Demand (Cr),19-Nov-10,6
Achara,Chemical Oxygen Demand (Cr),11-Dec-10,9
Achara,Chemical Oxygen Demand (Cr),21-Jan-11,10
Achara,Chemical Oxygen Demand (Cr),22-Jan-11,8
Achara,Chemical Oxygen Demand (Cr),11-Feb-11,8
Achara,Chemical Oxygen Demand (Cr),18-Feb-11,0
Achara,Chemical Oxygen Demand (Cr),18-Mar-11,9
Achara,Chemical Oxygen Demand (Cr),31-Mar-11,0
Achara,Chemical Oxygen Demand (Cr),16-Apr-11,9
Achara,Chemical Oxygen Demand (Cr),22-Apr-11,8
Achara,Chemical Oxygen Demand (Cr),13-May-11,8
Achara,Chemical Oxygen Demand (Cr),27-May-11,0
Achara,Chemical Oxygen Demand (Cr),11-Jun-11,8
Achara,Chemical Oxygen Demand (Cr),17-Jun-11,9
Achara,Chemical Oxygen Demand (Cr),09-Jul-11,11
Achara,Chemical Oxygen Demand (Cr),14-Jul-11,8
Achara,Chemical Oxygen Demand (Cr),04-Aug-11,10
Achara,Chemical Oxygen Demand (Cr),11-Aug-11,0
Achara,Chemical Oxygen Demand (Cr),14-Sep-11,0
Achara,Chemical Oxygen Demand (Cr),28-Sep-11,0
Achara,Chemical Oxygen Demand (Cr),08-Oct-11,11
Achara,Chemical Oxygen Demand (Cr),13-Oct-11,10
Achara,Chemical Oxygen Demand (Cr),11-Nov-11,0
