id,value,location,sample date,measure
3386162,0.063,Achara,16-Jul-15,Ammonium
3386199,0.108,Achara,22-Aug-15,Ammonium
3386244,0.065,Achara,18-Sep-15,Ammonium
3386282,0.073,Achara,16-Oct-15,Ammonium
3386326,0.11,Achara,20-Nov-15,Ammonium
3386362,0.18,Achara,09-Dec-15,Ammonium
3283437,0.13,Achara,15-Jan-16,Ammonium
3283477,0.06,Achara,12-Feb-16,Ammonium
3283517,0.04,Achara,12-Mar-16,Ammonium
3283555,0.14,Achara,16-Apr-16,Ammonium
3283597,0.16,Achara,13-May-16,Ammonium
3283636,0.05,Achara,11-Jun-16,Ammonium
3283678,0.04,Achara,16-Jul-16,Ammonium
3283716,0.056,Achara,20-Aug-16,Ammonium
3283760,0.078,Achara,16-Sep-16,Ammonium
3283798,0.089,Achara,22-Oct-16,Ammonium
3283841,0.11,Achara,19-Nov-16,Ammonium
3283878,0.11,Achara,10-Dec-16,Ammonium
